utterance,intent
i want to fly from baltimore to dallas round trip ,flight
round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars ,airfare
show me the flights arriving on baltimore on june fourteenth ,flight
what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm ,flight
which airlines fly from boston to washington dc via other cities ,airline
i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out ,flight
okay and then from pittsburgh i'd like to travel to atlanta on september fourth ,flight
show me all the flights from philadelphia to cincinnati ,flight
okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available ,flight
on tuesday what flights leave phoenix to st. paul minnesota and leave after noon ,flight
american flights from chicago to los angeles morning ,flight
what types of ground transportation are there to san francisco airport ,ground_service
in the next two days i want to fly from nashville to san jose or to tacoma ,flight
does continental airlines fly from denver to san francisco ,flight
chicago to milwaukee ,flight
how many flights does twa have in business class ,quantity
show me the flights from dallas to baltimore in first class ,flight
i'd like to find the least expensive one way fare from boston to philadelphia ,airfare
how many booking classes are there ,quantity
what are the flights from tacoma to san jose on wednesday the nineteenth ,flight
what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco ,flight
please list all the arriving and departing flights from general mitchell international ,flight
what time zone is denver in ,city
show me ground transportation in boston and in baltimore ,ground_service
i want to find the first flight from baltimore to boston that serves a meal ,flight
from seattle to salt lake city ,flight
can you show me the flights from dallas to baltimore with economy fares ,flight
what flights leave from phoenix ,flight
what are the flights from pittsburgh to denver ,flight
show flights leaving miami to cleveland on us air that leave after noon ,flight
please give me a list of all the flights between dallas and baltimore and their cost ,flight;atis_airfare
what does fare code y mean ,abbreviation
ground transportation in phoenix ,ground_service
okay could you tell me what flight leaves dallas to san francisco by united airline ,flight
show me all flights from denver to san francisco next wednesday which leave after noon ,flight
is there a flight from atlanta to san francisco that stops over in denver ,flight
show departures and arrivals in atlanta for american airlines ,flight
find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day ,flight
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning ,flight
i want a flight originating in denver going to pittsburgh and atlanta in either order ,flight
show me the flights from dallas to atlanta ,flight
what flights are available from denver to san francisco ,flight
what is the cost of a flight from boston to denver ,airfare
show me the earliest flight from san jose to pittsburgh that serves a snack ,flight
could you please give me the round trip fare from denver to atlanta ,airfare
do you have a flight leaving boston at 645 am going to washington ,flight
what are all the flights into atlanta's airport ,flight
show me the flights from atlanta to denver on friday ,flight
what does fare code qx mean ,abbreviation
i would like information on twa flights from washington to philadelphia ,flight
which airlines fly from boston to washington dc but stopover in some other city ,airline
ground transportation in oakland ,ground_service
list all afternoon flights on united airlines from san francisco to denver ,flight
show me all flights from san francisco to pittsburgh on a monday ,flight
what is the latest flight leaving boston to denver ,flight
okay i would like to know the type of aircraft used on a flight from cleveland to dallas please ,aircraft
please show me the flights from las vegas to detroit on the twenty eighth ,flight
what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma ,airline
i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia ,flight
give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee ,flight
american airlines from denver to milwaukee ,flight
what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington ,flight
i need a return flight from philadelphia to boston ,flight
northwest flights with stops in denver ,flight
what is the first class fare from baltimore to dallas ,airfare
could you please tell me the airlines that fly from toronto to san diego ,airline
what is the earliest flight from memphis to cincinnati on june thirtieth ,flight
show me the nonstop flights from dallas to houston ,flight
show me economy fares from dallas to baltimore ,airfare
i would like a flight on continental airlines on august twentieth from washington to pittsburgh ,flight
do you have a flight on wednesday from denver to washington dc nonstop ,flight
what is ewr ,abbreviation
i want to fly boston to san francisco ,flight
what flight leaves dallas for atlanta on august twenty seventh in the evening ,flight
wednesday morning flights between baltimore and newark ,flight
show me flights from dallas to pittsburgh ,flight
what flights are there arriving in chicago on continental after 11 pm ,flight
what is the lowest cost fare that delta has between boston and san francisco ,airfare
i'd like to go from boston to san francisco ,flight
round trip air fares from pittsburgh to philadelphia less than 1000 dollars ,airfare
does any airline have a jet flight between pittsburgh and baltimore ,airline
what is mco ,abbreviation
show me the flights from newark new jersey to ontario international next saturday ,flight
i want to fly from dallas fort worth to philadelphia ,flight
show me flights between new york city and las vegas ,flight
how long does it take to get from atlanta airport into the city of atlanta ,distance
show me all first class prices from dallas to baltimore ,airfare
is there a flight between san francisco and boston with a stopover in dallas fort worth ,flight
show me ground transportation information for san francisco ,ground_service
need an inexpensive flight from baltimore to san francisco ,flight
find the earliest flight from boston to oakland that serves breakfast ,flight
i'd like to fly from philadelphia to dallas to san francisco ,flight
show me all the direct flights from atlanta to baltimore ,flight
latest flight from houston to san jose ,flight
what're the flights from new york city to las vegas that arrive on a sunday ,flight
i would like to fly united airlines from washington dc to denver colorado ,flight
okay i need to see economy flights on united between dallas and baltimore ,flight
please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast ,flight
i need information for flights leaving baltimore and arriving in atlanta ,flight
show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow ,flight
show me the fares from dallas to san francisco ,airfare
please give me flights available from baltimore to philadelphia ,flight
what are the flights on january first 1992 from boston to san francisco ,flight
flights from denver to baltimore between 10 am and 2 pm ,flight
what ground transportation is there in atlanta ,ground_service
list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm ,flight
show flights from baltimore to san francisco between 6 pm and 8 pm on friday ,flight
i want to fly from denver to san francisco ,flight
coach fares only weekdays for denver to boston ,airfare
what are the coach fares for flights from newark to la leaving after 3 pm ,airfare
from philadelphia to toronto ,flight
i would like a nonstop flight from philadelphia to pittsburgh ,flight
what are my choices of flights leaving early afternoon from minneapolis to indianapolis ,flight
what is the cheapest flight flying from boston to atlanta before 8 ,flight
list possible round trip daily flights between boston and oakland ,flight
please give me round trip fares from baltimore to philadelphia ,airfare
find a flight from long beach to st. louis stopping in dallas ,flight
please list the flights from st. paul to kansas city on friday night that serve meals ,flight
what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth ,airfare
can you show me the flights from baltimore to dallas ,flight
i need flight information on saturday for a flight from philadelphia to dallas ,flight
show me the flights from denver that go to pittsburgh and then atlanta ,flight
what is the earliest flight you have leaving boston heading to philadelphia ,flight
what are the least expensive flights from denver to atlanta ,flight
what kind of ground transportation is there once i get to dallas ,ground_service
show me the flights that go from atlanta to washington on thursday mornings ,flight
find a flight on delta from philadelphia to san francisco ,flight
do you have any flights from boston to dallas fort worth that stop over in philadelphia ,flight
what is ff ,abbreviation
show all nonstop flights from boston to san francisco ,flight
what kind of ground transportation is available in denver ,ground_service
i would like to travel from indianapolis to houston ,flight
find travel arrangements for a round trip flight from boston to pittsburgh ,flight
please list the tuesday flights from atlanta to st. louis ,flight
show me all flights from atlanta to san francisco ,flight
what is the cheapest fare i can get from dallas to denver ,airfare
what is the latest flight from salt lake city to st. petersburg ,flight
